sigungu_cd,bjdong_cd,대지위치,건물명,주용도,세대수,사용승인일,연식,연면적(㎡),전기_연간사용량(kWh),가스_연간사용량(MJ),전기_EUI,가스_EUI
29170,10100,광주광역시 북구 중흥동 264-17번지,,제1종근린생활시설,0,19810528,45,160.3,5390.0,0.0,33.624454148471614,0.0
29170,10100,광주광역시 북구 중흥동 264-20번지,,제1종근린생활시설,0,19810213,45,163.51,13345.0,11197.0,81.61580331478197,68.47899211057428
29170,10100,광주광역시 북구 중흥동 264-21번지,,제1종근린생활시설,0,19820312,44,176.924,9452.0,9861.0,53.42406909181343,55.735796161063504
29170,10100,광주광역시 북구 중흥동 264-22번지,,제1종근린생활시설,0,19810609,45,114.0,25398.0,4851.0,222.78947368421052,42.55263157894737
29170,10100,광주광역시 북구 중흥동 264-25번지,,제1종근린생활시설,0,19810813,45,105.245,3553.0,9083.0,33.75932348330087,86.30338733431516
29170,10100,광주광역시 북구 중흥동 264-38번지,,제1종근린생활시설,0,19861103,40,113.43,4013.0,459.0,35.37864762408534,4.046548532134356
29170,10100,광주광역시 북구 중흥동 265-8번지,,제1종근린생활시설,0,19890223,37,154.72,3288.0,6787.0,21.25129265770424,43.86633919338159
29170,10100,광주광역시 북구 중흥동 265-25번지,,제1종근린생활시설,0,19800816,46,136.6975,11287.0,7923.0,82.56917646628506,57.96009436895335
29170,10100,광주광역시 북구 중흥동 266-7번지,,제1종근린생활시설,0,19860701,40,136.83,14243.0,6892.0,104.09266973616896,50.36907111013666
29170,10100,광주광역시 북구 중흥동 266-8번지,,제1종근린생활시설,0,19831008,43,141.57,7018.0,19235.0,49.572649572649574,135.8691813237268
29170,10100,광주광역시 북구 중흥동 266-9번지,,제2종근린생활시설,1,19801229,46,125.66,18321.0,12814.0,145.79818558013687,101.97357950023874
29170,10100,광주광역시 북구 중흥동 266-19번지,,제1종근린생활시설,0,19850912,41,143.3,6380.0,0.0,44.52198185624564,0.0
29170,10100,광주광역시 북구 중흥동 266-34번지,,제1종근린생활시설,0,19870430,39,177.18,24700.0,5363.0,139.40625352748617,30.268653346878878
29170,10100,광주광역시 북구 중흥동 267-22번지,,제1종근린생활시설,0,19831229,43,134.1,4657.0,9687.0,34.727815063385535,72.23713646532438
29170,10100,광주광역시 북구 중흥동 267-32번지,,제1종근린생활시설,0,19820907,44,185.45,20458.0,13938.0,110.31544890806148,75.15772445403074
29170,10100,광주광역시 북구 중흥동 267-33번지,,제1종근린생활시설,0,19881208,38,378.7,29733.0,16258.0,78.51333509374174,42.931080010562454
29170,10100,광주광역시 북구 중흥동 267-34번지,,제1종근린생활시설,0,19880518,38,138.25,9044.0,20311.0,65.41772151898734,146.91500904159133
29170,10100,광주광역시 북구 중흥동 268-12번지,,제1종근린생활시설,0,19861107,40,146.54,12880.0,9027.0,87.89409035075748,61.60092807424594
29170,10100,광주광역시 북구 중흥동 268-13번지,,제1종근린생활시설,0,19870729,39,130.85,2839.0,3912.0,21.69659915934276,29.89682842949943
29170,10100,광주광역시 북구 중흥동 268-19번지,,제2종근린생활시설,0,19880803,38,123.55,18417.0,10641.0,149.06515580736544,86.12707405908539
29170,10100,광주광역시 북구 중흥동 268-20번지,,제2종근린생활시설,0,19861031,40,148.79,20508.0,11477.0,137.83184353787217,77.13556018549635
29170,10100,광주광역시 북구 중흥동 269-13번지,,제2종근린생활시설,0,19830906,43,381.84,17797.0,0.0,46.60852713178295,0.0
29170,10100,광주광역시 북구 중흥동 269-14번지,,제1종근린생활시설,0,19850817,41,556.08,350.0,0.0,0.6294058408862033,0.0
29170,10100,광주광역시 북구 중흥동 269-16번지,,제2종근린생활시설,0,19881015,38,931.37,244966.0,0.0,263.01684615136844,0.0
29170,10100,광주광역시 북구 중흥동 270-9번지,,제2종근린생활시설,0,19820920,44,199.96,15950.0,3341.0,79.76595319063813,16.708341668333667
29170,10100,광주광역시 북구 중흥동 270-11번지,,제2종근린생활시설,0,19810620,45,143.37,20565.0,13611.0,143.44005021971122,94.93617911697008
29170,10100,광주광역시 북구 중흥동 270-15번지,,제1종근린생활시설,0,19900830,36,566.8,16916.0,15528.0,29.844742413549756,27.39590684544813
